"id.01","LOG10N0","LOG10Nmax","mumax","lag","AIC","atmum","community","Nutrient","Temp","BioRep"
"meso:WHM:18:1",2.53635423920074,35,0.116560455232432,0.5,10.0608238414936,28.6506278733802,"meso","WHM","18","1"
"meso:WHM:18:2",4.01034988236945,18.0718088761441,0.135829151203857,8,10.4848082167045,34.4828374341148,"meso","WHM","18","2"
"meso:WHM:18:3",5.35636693592063,0.5,0.257241745702352,8,2.12303755792116,5.66756364383313,"meso","WHM","18","3"
"meso:WHM:22:4",4.51750863890695,10.2863274972031,0.129679938823373,8,13.3222146541659,40.658792059206,"meso","WHM","22","4"
"meso:WHM:22:5",2.55405044835025,35,0.135673756658082,0.5,12.0685834479542,24.6848540264809,"meso","WHM","22","5"
"meso:WHM:22:6",2.43036762049689,35,0.162969637996159,0.5,10.0063289502502,20.6341184796479,"meso","WHM","22","6"
"meso-oligo:WHM:18:1",4.61593333426032,5.4181778306785,0.241338468074259,1.6458168374375,-17.0710146087114,29.498030792632,"meso-oligo","WHM","18","1"
"meso-oligo:WHM:18:2",4.79541836634578,5.56793350362464,0.108022355607942,1.85711098977191,-4.27074062887878,62.0739393836175,"meso-oligo","WHM","18","2"
"meso-oligo:WHM:18:3",4.84922153637894,5.52726680589906,0.164736681087813,3.9390857926257,5.46776412956738,43.7672490138981,"meso-oligo","WHM","18","3"
"meso-oligo:WHM:22:4",5.11458385528425,5.58439266741904,0.0858300167580082,6.72073369300988,-10.0457473408049,82.2472590894243,"meso-oligo","WHM","22","4"
"meso-oligo:WHM:22:5",4.81019313983521,5.55128114040464,0.170382799661421,0.5,4.20290395917479,38.8116104641429,"meso-oligo","WHM","22","5"
"meso-oligo:WHM:22:6",5.5596042523202,0.5,0.188333384368684,8,-12.3343648092363,4.81416015534754,"meso-oligo","WHM","22","6"
"meso:WHM_5N:18:1",4.70918048639453,5.33666023158478,0.101356447154007,5.8552038684421,20.4202586318272,73.4547627837888,"meso","WHM_5N","18","1"
"meso:WHM_5N:18:2",2.4894859743314,35,0.158972744362796,0.5,11.3785170243599,21.1403305997648,"meso","WHM_5N","18","2"
"meso:WHM_5N:18:3",4.38495944864803,11.4372508336768,0.151207084106868,8,11.5809500005552,34.8948918045913,"meso","WHM_5N","18","3"
"meso:WHM_5N:22:4",4.56382522324549,5.39500278228499,0.110312087344665,0.5,-0.73298138079528,61.7609606726102,"meso","WHM_5N","22","4"
"meso:WHM_5N:22:5",4.58441059213161,5.24791347532204,0.121027169857846,1.70540116104187,-16.5584833105082,59.5743311582835,"meso","WHM_5N","22","5"
"meso:WHM_5N:22:6",4.50892252801462,5.36286264096816,0.189740883339709,2.37162854813847,4.3532292303827,38.2570899310706,"meso","WHM_5N","22","6"
"meso-oligo:WHM_5N:18:1",4.96532869780986,5.38652048733526,0.124559160604302,5.88092888749938,-6.10764565528598,60.2420908150058,"meso-oligo","WHM_5N","18","1"
"meso-oligo:WHM_5N:18:2",4.79641808521321,5.43873422094578,0.185298266281723,3.3213255732537,7.09336996874688,39.4276485498141,"meso-oligo","WHM_5N","18","2"
"meso-oligo:WHM_5N:18:3",4.96437755749367,5.38499512212331,0.147623163842792,8,7.90716764399713,53.8843480061407,"meso-oligo","WHM_5N","18","3"
"meso-oligo:WHM_5N:22:4",4.67115561032827,5.44213738309677,0.194390224202925,1.54562326615389,-14.8009339739688,35.9367372427581,"meso-oligo","WHM_5N","22","4"
"meso-oligo:WHM_5N:22:5",5.49986783584201,0.5,0.232308894960893,5.66139498096629,-8.342456373109,3.07862689496164,"meso-oligo","WHM_5N","22","5"
"meso-oligo:WHM_5N:22:6",5.5470987852634,0.5,0.248920358770112,7.6752101196263,-15.0643698476469,5.26480060967487,"meso-oligo","WHM_5N","22","6"
"meso:WHM_5P:18:1",4.69507072186182,5.28823806516004,0.203689216270127,8,-16.5117731798587,42.0379197173488,"meso","WHM_5P","18","1"
"meso:WHM_5P:18:2",4.50109417717522,5.40686235242975,0.115678418729019,0.5,-9.91447383870791,58.7589926430365,"meso","WHM_5P","18","2"
"meso:WHM_5P:18:3",4.52571485319753,5.50964289605006,0.108829623524188,0.5,-6.26165649800231,61.0181509430272,"meso","WHM_5P","18","3"
"meso:WHM_5P:22:4",4.78122286508031,5.31639426241839,0.21400893216973,8,-6.39326198658355,40.1731848927954,"meso","WHM_5P","22","4"
"meso:WHM_5P:22:5",4.51596356262541,5.4652645259084,0.117977710171251,0.5,-22.7030378410719,56.872715149512,"meso","WHM_5P","22","5"
"meso:WHM_5P:22:6",4.83684690518387,5.31997091518693,0.178045862414907,8,7.43220619872935,46.6381288805393,"meso","WHM_5P","22","6"
"meso-oligo:WHM_5P:18:1",2.9339115373993,35,0.0566253647069009,0.5,-4.19443527446378,58.4466466482663,"meso-oligo","WHM_5P","18","1"
"meso-oligo:WHM_5P:18:2",5.39197192334592,4.31696468116767,0.159378017025314,8,8.90092961363164,69.7017104150856,"meso-oligo","WHM_5P","18","2"
"meso-oligo:WHM_5P:18:3",4.75478312895657,5.28876424834298,0.228189623438579,3.19135312772212,-9.59274050711944,33.5707054391076,"meso-oligo","WHM_5P","18","3"
"meso-oligo:WHM_5P:22:4",4.84416807460483,5.43602140594393,0.108176164722783,0.854750473360615,-16.1591227848372,62.7403685548677,"meso-oligo","WHM_5P","22","4"
"meso-oligo:WHM_5P:22:5",4.8914033681586,5.57169684316197,0.0892510617339622,0.5,-6.40280239422298,73.3241744599966,"meso-oligo","WHM_5P","22","5"
"meso-oligo:WHM_5P:22:6",5.01334970296227,5.54038180454214,0.0748556511023595,4.27640221239692,-15.6271279978452,91.6816208152695,"meso-oligo","WHM_5P","22","6"
